timestamp,j1,j2,j3,j4,j5,j6
1745822118103,-9.99996,-10,-9.99991,-9.99985,-9.99998,-10.0001
1745822118105,-9.99996,-10,-9.99991,-9.99985,-9.99998,-10.0001
1745822118153,-9.99996,-10,-9.99991,-9.99985,-9.99998,-10.0001
1745822118203,-9.99996,-10,-9.99991,-9.99985,-9.99998,-10.0001
1745822118253,-9.99996,-10,-9.99991,-9.99985,-9.99998,-10.0001
1745822118303,-9.99996,-10,-9.99991,-9.99985,-9.99998,-10.0001
1745822118353,-9.99996,-10,-9.99991,-9.99985,-9.99998,-10.0001
1745822118403,-9.99996,-10,-9.99991,-9.99985,-9.99998,-10.0001
1745822118453,-9.99996,-10,-9.99991,-9.99985,-9.99998,-10.0001
1745822118503,-9.99996,-10,-9.99991,-9.99985,-9.99998,-10.0001
1745822118553,-9.99996,-10,-9.99991,-9.99985,-9.99998,-10.0001
1745822118603,-9.99996,-10,-9.99991,-9.99985,-9.99998,-10.0001
1745822118653,-9.99996,-10,-9.99991,-9.99985,-9.99998,-10.0001
1745822118703,-9.99996,-10,-9.99991,-9.99985,-9.99998,-10.0001
1745822118753,-9.99996,-10,-9.99991,-9.99985,-9.99998,-10.0001
1745822118803,-9.99996,-10,-9.99991,-9.99985,-9.99998,-10.0001
1745822118853,-9.99996,-10,-9.99991,-9.99985,-9.99998,-10.0001
1745822118903,-9.99996,-10,-9.99991,-9.99985,-9.99998,-10.0001
1745822118953,-9.99996,-10,-9.99991,-9.99985,-9.99998,-10.0001
1745822119003,-9.99996,-10,-9.99991,-9.99985,-9.99998,-10.0001
1745822119053,-9.99996,-10,-10.0001,-10.0001,-10,-10.0001
1745822119103,-7.14283,-7.14286,-7.14293,-7.14292,-7.14285,-7.14298
1745822119153,-4.28569,-4.28572,-4.28578,-4.28577,-4.28571,-4.28582
1745822119204,-1.42855,-1.42857,-1.42862,-1.42862,-1.42857,-1.42865
1745822119254,1.42859,1.42857,1.42853,1.42854,1.42857,1.42851
1745822119304,4.28572,4.28571,4.28569,4.28569,4.28572,4.28567
1745822119354,7.14286,7.14286,7.14285,7.14285,7.14286,7.14284
1745822119404,10,10,10,10,10,10
1745822119454,10,10,10,10,10,10
1745822119504,10,10,10,10,10,10
1745822119554,10,10,10,10,10,10
1745822119604,10,10,10,10,10,10
1745822119693,10,10,10,10,10,10
1745822119742,10,10,10,10,10,10
1745822119790,10,10,10,10,10,10
1745822119814,10,10,10,10,10,10
1745822119862,10,10,10,10,10,10
1745822119910,10,10,10,10,10,10
1745822119983,10,10,10,10,10,10
1745822120031,10,10,10,10,10,10
1745822120080,7.06349,7.02459,7.04198,7.0784,7.05563,7.05445
1745822120128,3.65079,3.61968,3.63358,3.66272,3.6445,3.64356
