timestamp,j1,j2,j3,j4,j5,j6
1745822635121,-9.99794,-10,-10,-10.0002,-9.99795,-9.99912
1745822635123,-9.99812,-10.0001,-9.99991,-10.0002,-9.99795,-9.99912
1745822635171,-9.99803,-10.0001,-10,-9.99985,-9.99792,-9.99909
1745822635221,-9.99794,-10.0001,-10,-10.0002,-9.99808,-9.99919
1745822635271,-9.99821,-10.0001,-10.0001,-10.0002,-9.99795,-9.99912
1745822635589,-9.9979,-9.99968,-10,-9.99985,-9.99819,-9.99923
1745822635591,-9.9979,-9.99968,-10,-9.99985,-9.99819,-9.99923
1745822635639,-9.99794,-9.99956,-9.99991,-10.0001,-9.99821,-9.99924
1745822635689,-9.9979,-9.99968,-10,-10.0001,-9.99821,-9.99924
1745822635739,-10.0003,-9.99916,-10,-10.0001,-10.0024,-10.0013
1745822635789,-9.99781,-9.99956,-9.99991,-9.99985,-9.99759,-9.99855
1745822635839,-9.99597,-9.99968,-9.99991,-10.0001,-9.99648,-9.99838
1745822635889,-9.99711,-9.99956,-9.99991,-9.99985,-9.99759,-9.99893
1745822635939,-9.99764,-9.99968,-9.99991,-10.0001,-9.99781,-9.99905
1745822635989,-9.9979,-9.99968,-10,-10.0001,-9.99794,-9.99911
1745822636039,-9.99803,-9.99968,-9.99991,-10.0001,-9.99781,-9.99905
1745822636089,-9.99812,-9.99976,-10,-10.0001,-9.99781,-9.99905
1745822636139,-9.99812,-9.99968,-9.99991,-10.0001,-9.99794,-9.99911
1745822636189,-9.99821,-9.99976,-9.99991,-10.0001,-9.99794,-9.99911
1745822636239,-9.99812,-9.99976,-9.99991,-10.0001,-9.99794,-9.99911
1745822636289,-9.99821,-9.99976,-9.99991,-9.99985,-9.99792,-9.99909
1745822636339,-9.99812,-9.99976,-9.99991,-10.0002,-9.99795,-9.99912
1745822636390,-9.99825,-9.99988,-10,-10.0001,-9.99807,-9.9988
1745822636440,-9.99821,-9.99988,-9.99991,-10.0001,-9.99807,-9.99918
1745822636490,-9.99812,-9.99988,-10,-10.0002,-9.99795,-9.99912
1745822636540,-9.99812,-9.99988,-10,-10.0001,-9.99794,-9.99911
1745822636590,-9.99812,-9.99896,-9.99978,-10.0002,-9.99795,-9.99875
1745822636640,-9.77913,-9.72643,-9.7307,-9.88735,-9.83347,-9.84184
1745822636690,-8.5263,-8.48353,-8.48724,-8.6697,-8.61529,-8.62097
1745822636740,-5.92213,-5.95627,-5.96004,-6.0149,-6.0022,-6.00611
1745822636790,-3.17439,-3.24069,-3.2285,-3.23364,-3.23924,-3.25525
1745822636840,-0.179151,-0.234362,-0.228882,-0.219383,-0.235823,-0.240743
1745822636890,2.58199,2.53463,2.53758,2.5415,2.53322,2.54332
1745822636940,5.34568,5.3086,5.30701,5.32505,5.30206,5.30495
1745822636990,8.12158,8.09223,8.11131,8.17635,8.1647,8.16476
1745822637040,9.65361,9.64467,9.66204,9.75517,9.74295,9.74488
1745822637090,10.0064,10.0176,10.0086,10.0326,10.0246,10.0313
1745822637140,10.0093,10.0262,10.011,10.0326,10.0207,10.0282
1745822637190,10.0103,10.018,10.0103,10.0323,10.0167,10.0251
1745822637240,10.0091,10.0208,10.0101,10.0321,10.0126,10.022
1745822637290,10.0072,10.0083,10.0092,10.0317,10.0094,10.0199
1745822637340,10.0054,10.0103,10.0089,10.0309,10.007,10.0175
1745822637390,10.004,10.0049,10.0081,10.0304,10.0053,10.0158
1745822637440,10.003,10.0032,10.0075,10.0297,10.0038,10.0141
1745822637490,10.0022,10.0032,10.0067,10.0286,10.0029,10.0126
1745822637540,10.0015,10.0009,10.0057,10.0279,10.0021,10.0116
1745822637590,10.001,10.0012,10.0048,10.0259,10.0016,10.0101
1745822637640,10.0005,10.001,10.0038,10.0235,10.0012,10.0089
1745822637690,10.0005,10.0002,10.0031,10.0202,10.0009,10.0079
1745822637740,9.70091,9.68381,9.71523,9.79614,9.7842,9.76749
1745822637790,8.2464,8.2122,8.24629,8.32615,8.33119,8.31724
1745822637840,5.4947,5.44621,5.4708,5.45895,5.4806,5.47222
1745822637890,2.7376,2.70504,2.72025,2.69119,2.71099,2.71266
