timestamp,j1,j2,j3,j4,j5,j6
1745996791057,1.28212,1.28215,1.28204,1.2822,1.28197,1.28204
1745996791059,1.28212,1.28215,1.28204,1.2822,1.28197,1.28204
1745996791061,1.82699,1.82702,1.82692,1.82706,1.82685,1.82691
1745996791070,2.37186,2.37188,2.37179,2.37192,2.37172,2.37179
1745996791074,2.91673,2.91675,2.91666,2.91678,2.9166,2.91666
1745996791079,3.46159,3.46161,3.46153,3.46165,3.46148,3.46153
1745996791088,4.00646,4.00648,4.0064,4.00651,4.00635,4.0064
1745996791090,4.55133,4.55135,4.55128,4.55137,4.55123,4.55128
1745996791098,5.09619,5.09621,5.09615,5.09624,5.09611,5.09615
1745996791103,5.64106,5.64108,5.64102,5.6411,5.64099,5.64102
1745996791128,6.18593,6.18594,6.18589,6.18596,6.18586,6.18589
1745996791151,6.7308,6.73081,6.73077,6.73082,6.73074,6.73077
1745996791200,7.27566,7.27567,7.27564,7.27569,7.27562,7.27564
1745996791273,7.82053,7.82054,7.82051,7.82055,7.82049,7.82051
1745996791299,8.3654,8.3654,8.36538,8.36541,8.36537,8.36538
1745996791371,8.91026,8.91027,8.91026,8.91027,8.91025,8.91026
1745996791421,9.45513,9.45514,9.45513,9.45514,9.45512,9.45513
1745996791471,10,10,10,10,10,10
1745996791494,10,10,10,10,10,10
1745996791543,9.48718,9.48718,9.48718,9.48718,9.48718,9.48718
1745996791593,8.97436,8.97436,8.97436,8.97436,8.97436,8.97436
1745996791642,8.46154,8.46154,8.46154,8.46154,8.46154,8.46154
1745996791694,7.94872,7.94872,7.94872,7.94872,7.94872,7.94872
1745996791742,7.4359,7.4359,7.4359,7.4359,7.4359,7.4359
1745996791792,6.92308,6.92308,6.92308,6.92308,6.92308,6.92308
1745996791842,6.41026,6.41026,6.41026,6.41026,6.41026,6.41026
1745996791866,5.89744,5.89744,5.89744,5.89744,5.89744,5.89744
1745996791963,5.38461,5.38461,5.38461,5.38461,5.38461,5.38461
1745996792038,4.87179,4.87179,4.87179,4.87179,4.87179,4.87179
1745996792086,4.35897,4.35897,4.35897,4.35897,4.35897,4.35897
1745996792111,3.84615,3.84615,3.84615,3.84615,3.84615,3.84615
1745996792159,3.33333,3.33333,3.33333,3.33333,3.33333,3.33333
1745996792208,2.82051,2.82051,2.82051,2.82051,2.82051,2.82051
1745996792257,2.30769,2.30769,2.30769,2.30769,2.30769,2.30769
1745996792306,1.79487,1.79487,1.79487,1.79487,1.79487,1.79487
1745996792356,1.28205,1.28205,1.28205,1.28205,1.28205,1.28205
1745996792405,0.76923,0.76923,0.76923,0.76923,0.76923,0.76923
1745996792454,0.25641,0.25641,0.25641,0.25641,0.25641,0.25641
1745996792502,-0.256411,-0.256411,-0.256411,-0.256411,-0.256411,-0.256411
1745996792576,-0.769232,-0.769232,-0.769232,-0.769232,-0.769232,-0.769232
1745996792625,-1.28205,-1.28205,-1.28205,-1.28205,-1.28205,-1.28205
1745996792674,-1.79487,-1.79487,-1.79487,-1.79487,-1.79487,-1.79487
1745996792723,-2.30769,-2.30769,-2.30769,-2.30769,-2.30769,-2.30769
1745996792772,-2.82051,-2.82051,-2.82051,-2.82051,-2.82051,-2.82051
1745996792821,-3.33333,-3.33333,-3.33333,-3.33333,-3.33333,-3.33333
1745996792870,-3.84615,-3.84615,-3.84615,-3.84615,-3.84615,-3.84615
1745996792919,-4.35898,-4.35898,-4.35898,-4.35898,-4.35898,-4.35898
1745996792968,-4.8718,-4.8718,-4.8718,-4.8718,-4.8718,-4.8718
1745996793017,-5.38462,-5.38462,-5.38462,-5.38462,-5.38462,-5.38462
1745996793066,-5.89744,-5.89744,-5.89744,-5.89744,-5.89744,-5.89744
1745996793115,-6.41026,-6.41026,-6.41026,-6.41026,-6.41026,-6.41026
1745996793164,-6.92308,-6.92308,-6.92308,-6.92308,-6.92308,-6.92308
1745996793213,-7.4359,-7.4359,-7.4359,-7.4359,-7.4359,-7.4359
1745996793262,-7.94872,-7.94872,-7.94872,-7.94872,-7.94872,-7.94872
1745996793311,-8.46154,-8.46154,-8.46154,-8.46154,-8.46154,-8.46154
1745996793360,-8.97436,-8.97436,-8.97436,-8.97436,-8.97436,-8.97436
1745996793410,-9.48718,-9.48718,-9.48718,-9.48718,-9.48718,-9.48718
1745996793434,-10,-10,-10,-10,-10,-10
1745996793483,-10,-10,-10,-10,-10,-10
1745996793556,-9.48718,-9.48718,-9.48718,-9.48718,-9.48718,-9.48718
1745996793606,-8.97436,-8.97436,-8.97436,-8.97436,-8.97436,-8.97436
1745996793631,-8.46154,-8.46154,-8.46154,-8.46154,-8.46154,-8.46154
1745996793658,-7.94872,-7.94872,-7.94872,-7.94872,-7.94872,-7.94872
1745996793732,-7.4359,-7.4359,-7.4359,-7.4359,-7.4359,-7.4359
1745996793781,-6.92308,-6.92308,-6.92308,-6.92308,-6.92308,-6.92308
1745996793830,-6.41026,-6.41026,-6.41026,-6.41026,-6.41026,-6.41026
1745996793881,-5.89744,-5.89744,-5.89744,-5.89744,-5.89744,-5.89744
1745996793904,-5.38462,-5.38462,-5.38462,-5.38462,-5.38462,-5.38462
1745996793953,-4.8718,-4.8718,-4.8718,-4.8718,-4.8718,-4.8718
1745996794027,-4.35898,-4.35898,-4.35898,-4.35898,-4.35898,-4.35898
1745996794101,-3.84616,-3.84616,-3.84616,-3.84616,-3.84616,-3.84616
1745996794124,-3.33333,-3.33333,-3.33333,-3.33333,-3.33333,-3.33333
1745996794174,-2.82051,-2.82051,-2.82051,-2.82051,-2.82051,-2.82051
1745996794223,-2.30769,-2.30769,-2.30769,-2.30769,-2.30769,-2.30769
1745996794272,-1.79487,-1.79487,-1.79487,-1.79487,-1.79487,-1.79487
1745996794320,-1.28205,-1.28205,-1.28205,-1.28205,-1.28205,-1.28205
1745996794369,-0.769232,-0.769232,-0.769232,-0.769232,-0.769232,-0.769232
1745996794418,-0.256412,-0.256412,-0.256412,-0.256412,-0.256412,-0.256412
1745996794491,0.256409,0.256409,0.256409,0.256409,0.256409,0.256409
1745996794565,0.76923,0.76923,0.76923,0.76923,0.76923,0.76923
1745996794592,1.28205,1.28205,1.28205,1.28205,1.28205,1.28205
1745996794615,1.79487,1.79487,1.79487,1.79487,1.79487,1.79487
1745996794688,2.30769,2.30769,2.30769,2.30769,2.30769,2.30769
1745996794737,2.82051,2.82051,2.82051,2.82051,2.82051,2.82051
1745996794787,3.33333,3.33333,3.33333,3.33333,3.33333,3.33333
1745996794860,3.84615,3.84615,3.84615,3.84615,3.84615,3.84615
1745996794910,4.35897,4.35897,4.35897,4.35897,4.35897,4.35897
1745996794959,4.87179,4.87179,4.87179,4.87179,4.87179,4.87179
1745996795008,5.38461,5.38461,5.38461,5.38461,5.38461,5.38461
1745996795031,5.89744,5.89744,5.89744,5.89744,5.89744,5.89744
1745996795081,6.41026,6.41026,6.41026,6.41026,6.41026,6.41026
1745996795130,6.92308,6.92308,6.92308,6.92308,6.92308,6.92308
1745996795204,7.4359,7.4359,7.4359,7.4359,7.4359,7.4359
1745996795253,7.94872,7.94872,7.94872,7.94872,7.94872,7.94872
1745996795276,8.46154,8.46154,8.46154,8.46154,8.46154,8.46154
1745996795325,8.97436,8.97436,8.97436,8.97436,8.97436,8.97436
1745996795374,9.48718,9.48718,9.48718,9.48718,9.48718,9.48718
1745996795448,10,10,10,10,10,10
1745996795497,10,10,10,10,10,10
1745996795546,9.48718,9.48718,9.48718,9.48718,9.48718,9.48718
1745996795570,8.97436,8.97436,8.97436,8.97436,8.97436,8.97436
1745996795620,8.46154,8.46154,8.46154,8.46154,8.46154,8.46154
1745996795646,7.94872,7.94872,7.94872,7.94872,7.94872,7.94872
1745996795719,7.4359,7.4359,7.4359,7.4359,7.4359,7.4359
1745996795768,6.92308,6.92308,6.92308,6.92308,6.92308,6.92308
1745996795817,6.41026,6.41026,6.41026,6.41026,6.41026,6.41026
1745996795843,5.89744,5.89744,5.89744,5.89744,5.89744,5.89744
1745996795940,5.38461,5.38461,5.38461,5.38461,5.38461,5.38461
1745996795989,4.87179,4.87179,4.87179,4.87179,4.87179,4.87179
1745996796062,4.35897,4.35897,4.35897,4.35897,4.35897,4.35897
1745996796087,3.84615,3.84615,3.84615,3.84615,3.84615,3.84615
1745996796136,3.33333,3.33333,3.33333,3.33333,3.33333,3.33333
1745996796185,2.82051,2.82051,2.82051,2.82051,2.82051,2.82051
1745996796234,2.30769,2.30769,2.30769,2.30769,2.30769,2.30769
1745996796283,1.79487,1.79487,1.79487,1.79487,1.79487,1.79487
1745996796332,1.28205,1.28205,1.28205,1.28205,1.28205,1.28205
1745996796381,0.76923,0.76923,0.76923,0.76923,0.76923,0.76923
1745996796430,0.25641,0.25641,0.25641,0.25641,0.25641,0.25641
1745996796479,-0.256411,-0.256411,-0.256411,-0.256411,-0.256411,-0.256411
1745996796553,-0.769232,-0.769232,-0.769232,-0.769232,-0.769232,-0.769232
1745996796578,-1.28205,-1.28205,-1.28205,-1.28205,-1.28205,-1.28205
1745996796651,-1.79487,-1.79487,-1.79487,-1.79487,-1.79487,-1.79487
1745996796700,-2.30769,-2.30769,-2.30769,-2.30769,-2.30769,-2.30769
1745996796749,-2.82051,-2.82051,-2.82051,-2.82051,-2.82051,-2.82051
1745996796798,-3.33333,-3.33333,-3.33333,-3.33333,-3.33333,-3.33333
1745996796847,-3.84615,-3.84615,-3.84615,-3.84615,-3.84615,-3.84615
1745996796896,-4.35898,-4.35898,-4.35898,-4.35898,-4.35898,-4.35898
1745996796945,-4.8718,-4.8718,-4.8718,-4.8718,-4.8718,-4.8718
1745996796994,-5.38462,-5.38462,-5.38462,-5.38462,-5.38462,-5.38462
1745996797043,-5.89744,-5.89744,-5.89744,-5.89744,-5.89744,-5.89744
1745996797092,-6.41026,-6.41026,-6.41026,-6.41026,-6.41026,-6.41026
1745996797141,-6.92308,-6.92308,-6.92308,-6.92308,-6.92308,-6.92308
1745996797190,-7.4359,-7.4359,-7.4359,-7.4359,-7.4359,-7.4359
1745996797239,-7.94872,-7.94872,-7.94872,-7.94872,-7.94872,-7.94872
1745996797288,-8.46154,-8.46154,-8.46154,-8.46154,-8.46154,-8.46154
1745996797337,-8.97436,-8.97436,-8.97436,-8.97436,-8.97436,-8.97436
1745996797387,-9.48718,-9.48718,-9.48718,-9.48718,-9.48718,-9.48718
1745996797411,-10,-10,-10,-10,-10,-10
1745996797460,-10,-10,-10,-10,-10,-10
1745996797533,-9.48718,-9.48718,-9.48718,-9.48718,-9.48718,-9.48718
1745996797582,-8.97436,-8.97436,-8.97436,-8.97436,-8.97436,-8.97436
1745996797607,-8.46154,-8.46154,-8.46154,-8.46154,-8.46154,-8.46154
1745996797634,-7.94872,-7.94872,-7.94872,-7.94872,-7.94872,-7.94872
1745996797708,-7.4359,-7.4359,-7.4359,-7.4359,-7.4359,-7.4359
1745996797757,-6.92308,-6.92308,-6.92308,-6.92308,-6.92308,-6.92308
1745996797806,-6.41026,-6.41026,-6.41026,-6.41026,-6.41026,-6.41026
1745996797856,-5.89744,-5.89744,-5.89744,-5.89744,-5.89744,-5.89744
1745996797880,-5.38462,-5.38462,-5.38462,-5.38462,-5.38462,-5.38462
1745996797929,-4.8718,-4.8718,-4.8718,-4.8718,-4.8718,-4.8718
1745996798002,-4.35898,-4.35898,-4.35898,-4.35898,-4.35898,-4.35898
1745996798076,-3.84616,-3.84616,-3.84616,-3.84616,-3.84616,-3.84616
1745996798100,-3.33333,-3.33333,-3.33333,-3.33333,-3.33333,-3.33333
1745996798149,-2.82051,-2.82051,-2.82051,-2.82051,-2.82051,-2.82051
1745996798198,-2.30769,-2.30769,-2.30769,-2.30769,-2.30769,-2.30769
1745996798247,-1.79487,-1.79487,-1.79487,-1.79487,-1.79487,-1.79487
1745996798296,-1.28205,-1.28205,-1.28205,-1.28205,-1.28205,-1.28205
1745996798345,-0.769232,-0.769232,-0.769232,-0.769232,-0.769232,-0.769232
1745996798394,-0.256412,-0.256412,-0.256412,-0.256412,-0.256412,-0.256412
1745996798467,0.256409,0.256409,0.256409,0.256409,0.256409,0.256409
1745996798541,0.76923,0.76923,0.76923,0.76923,0.76923,0.76923
1745996798567,1.28205,1.28205,1.28205,1.28205,1.28205,1.28205
1745996798591,1.79487,1.79487,1.79487,1.79487,1.79487,1.79487
1745996798664,2.30769,2.30769,2.30769,2.30769,2.30769,2.30769
1745996798713,2.82051,2.82051,2.82051,2.82051,2.82051,2.82051
1745996798739,3.33333,3.33333,3.33333,3.33333,3.33333,3.33333
1745996798836,3.84615,3.84615,3.84615,3.84615,3.84615,3.84615
1745996798886,4.35897,4.35897,4.35897,4.35897,4.35897,4.35897
1745996798935,4.87179,4.87179,4.87179,4.87179,4.87179,4.87179
1745996798984,5.38461,5.38461,5.38461,5.38461,5.38461,5.38461
1745996799009,5.89744,5.89744,5.89744,5.89744,5.89744,5.89744
1745996799058,6.41026,6.41026,6.41026,6.41026,6.41026,6.41026
1745996799107,6.92308,6.92308,6.92308,6.92308,6.92308,6.92308
1745996799181,7.4359,7.4359,7.4359,7.4359,7.4359,7.4359
1745996799230,7.94872,7.94872,7.94872,7.94872,7.94872,7.94872
1745996799254,8.46154,8.46154,8.46154,8.46154,8.46154,8.46154
1745996799303,8.97436,8.97436,8.97436,8.97436,8.97436,8.97436
1745996799352,9.48718,9.48718,9.48718,9.48718,9.48718,9.48718
1745996799425,10,10,10,10,10,10
