timestamp,j1,j2,j3,j4,j5,j6
1745999683923,2.57334,2.57204,2.5715,2.57137,2.57168,2.57152
1745999683924,2.57321,2.57196,2.57159,2.57137,2.57148,2.57142
1745999684281,2.57321,2.57184,2.5715,2.57114,2.57133,2.57171
1745999684282,2.57321,2.57184,2.5715,2.57114,2.57133,2.57171
1745999684287,2.57312,2.57176,2.5715,2.5716,2.57136,2.57137
1745999684295,2.57334,2.57184,2.5715,2.5716,2.5715,2.57143
1745999684298,2.57334,2.57184,2.5715,2.5716,2.5715,2.57143
1745999684304,2.57312,2.57184,2.5715,2.5716,2.5715,2.57181
1745999684310,2.57334,2.57184,2.5715,2.5716,2.57136,2.57174
1745999684314,2.57321,2.57184,2.5715,2.5716,2.5715,2.57143
1745999684323,2.57321,2.57176,2.57137,2.57137,2.57148,2.57179
1745999684325,2.57321,2.57184,2.5715,2.57137,2.57148,2.57142
1745999684328,2.57312,2.57184,2.5715,2.57137,2.57148,2.57179
1745999684331,2.57312,2.57184,2.5715,2.57137,2.57148,2.57179
1745999684335,2.57321,2.57184,2.5715,2.57137,2.57148,2.57179
1745999684340,2.57321,2.57184,2.5715,2.57137,2.57135,2.57172
1745999684345,2.57321,2.57184,2.5715,2.5716,2.57136,2.57174
1745999684352,2.57312,2.57176,2.5715,2.57137,2.57135,2.57172
1745999684359,2.57312,2.57184,2.5715,2.57137,2.57148,2.57179
1745999684366,2.57321,2.57184,2.5715,2.57137,2.57135,2.57172
1745999684372,2.57321,2.57184,2.5715,2.57137,2.57148,2.57179
1745999684375,2.57321,2.57184,2.5715,2.57137,2.57148,2.57179
1745999684382,2.57321,2.57184,2.5715,2.57114,2.57146,2.57177
1745999684386,2.57312,2.57184,2.5715,2.57137,2.57148,2.57179
1745999684392,2.57321,2.57196,2.5715,2.57114,2.57146,2.57177
1745999684400,2.57312,2.57196,2.5715,2.57137,2.57135,2.57172
1745999684402,2.57321,2.57184,2.57137,2.57137,2.57148,2.57142
1745999684409,2.57321,2.57184,2.5715,2.57137,2.57148,2.57179
1745999684415,2.57321,2.57176,2.5715,2.57137,2.57148,2.57142
1745999684438,2.57312,2.57184,2.5715,2.57114,2.57133,2.57171
1745999684441,2.57312,2.57184,2.57137,2.57137,2.57135,2.57172
1745999684447,2.57312,2.57196,2.57137,2.57137,2.57135,2.57172
1745999684493,2.60066,2.61491,2.59308,2.57183,2.57841,2.57678
1745999684497,2.60066,2.61491,2.59308,2.57183,2.57841,2.57678
1745999684506,2.66601,2.69959,2.66309,2.57526,2.60699,2.59484
1745999684509,2.66601,2.69959,2.66309,2.57526,2.60699,2.59484
1745999684533,3.05014,3.0894,3.06235,2.91115,2.95833,2.93347
1745999684537,3.14118,3.17974,3.15216,2.99835,3.04678,3.02398
1745999684546,3.24225,3.27902,3.25134,3.09986,3.1445,3.12352
1745999684548,3.35328,3.38872,3.3599,3.21682,3.25401,3.23453
1745999684573,4.39718,4.42067,4.4012,4.25354,4.28593,4.26179
1745999684579,4.58467,4.60275,4.58535,4.4379,4.47224,4.45446
1745999684586,4.9796,4.98426,4.97097,4.84921,4.87138,4.86124
1745999684589,4.9796,4.98426,4.97097,4.84921,4.87138,4.86124
1745999684595,5.39399,5.37969,5.37524,5.28523,5.3007,5.28723
1745999684602,5.8238,5.79501,5.79934,5.73738,5.7485,5.72931
1745999684605,5.8238,5.79501,5.79934,5.73738,5.7485,5.72931
1745999684611,6.26634,6.23201,6.23679,6.19709,6.20448,6.20292
1745999684615,6.49073,6.45391,6.45974,6.42963,6.43476,6.43037
1745999684664,8.80212,8.76264,8.79033,8.87157,8.86052,8.86175
1745999684668,8.94487,8.90799,8.93485,9.02298,9.00763,9.00486
1745999684677,9.19815,9.16653,9.1953,9.28162,9.26998,9.26115
1745999684680,9.31024,9.28176,9.31017,9.39846,9.38539,9.3781
1745999684685,9.41266,9.38718,9.4145,9.50844,9.49155,9.48674
1745999684691,9.58755,9.56781,9.59037,9.68651,9.67104,9.67147
1745999684694,9.58755,9.56781,9.59037,9.68651,9.67104,9.67147
1745999684700,9.72291,9.70754,9.72486,9.81445,9.81034,9.81398
1745999684722,9.90786,9.89892,9.91246,9.99516,9.99022,9.99278
