timestamp,j1,j2,j3,j4,j5,j6
1746177632576,1.32077,1.32081,1.32076,1.32065,1.32065,1.32061
1746177632578,1.32077,1.32081,1.32076,1.32065,1.32065,1.32061
1746177632579,1.32077,1.32081,1.32076,1.32065,1.32065,1.32061
1746177632584,2.04404,2.04407,2.04403,2.04393,2.04393,2.04389
1746177632590,2.76731,2.76734,2.7673,2.76721,2.76721,2.76717
1746177632591,3.49058,3.4906,3.49057,3.49049,3.49049,3.49046
1746177632595,4.21385,4.21387,4.21384,4.21377,4.21377,4.21374
1746177632601,4.93712,4.93714,4.93711,4.93704,4.93704,4.93702
1746177632607,5.66039,5.6604,5.66038,5.66032,5.66032,5.6603
1746177632609,6.38366,6.38367,6.38365,6.3836,6.3836,6.38359
1746177632613,7.10692,7.10693,7.10692,7.10688,7.10688,7.10687
1746177632619,7.83019,7.8302,7.83019,7.83016,7.83016,7.83015
1746177632623,8.55346,8.55347,8.55346,8.55344,8.55344,8.55343
1746177632626,9.27673,9.27673,9.27673,9.27672,9.27672,9.27672
1746177632631,10,10,10,10,10,10
1746177632637,10,10,10,10,10,10
1746177632641,9.35484,9.35484,9.35484,9.35484,9.35484,9.35484
1746177632643,8.70968,8.70968,8.70968,8.70968,8.70968,8.70968
1746177632652,8.06452,8.06452,8.06452,8.06452,8.06452,8.06452
1746177632658,7.41935,7.41935,7.41935,7.41935,7.41935,7.41935
1746177632661,6.77419,6.77419,6.77419,6.77419,6.77419,6.77419
1746177632685,6.12903,6.12903,6.12903,6.12903,6.12903,6.12903
1746177632687,5.48387,5.48387,5.48387,5.48387,5.48387,5.48387
1746177632690,4.83871,4.83871,4.83871,4.83871,4.83871,4.83871
1746177632694,4.19355,4.19355,4.19355,4.19355,4.19355,4.19355
1746177632719,3.54839,3.54839,3.54839,3.54839,3.54839,3.54839
1746177632721,2.90323,2.90323,2.90323,2.90323,2.90323,2.90323
1746177632771,2.25806,2.25806,2.25806,2.25806,2.25806,2.25806
1746177632772,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129
1746177632777,0.967742,0.967742,0.967742,0.967742,0.967742,0.967742
1746177632801,0.322581,0.322581,0.322581,0.322581,0.322581,0.322581
1746177632803,-0.32258,-0.32258,-0.32258,-0.32258,-0.32258,-0.32258
1746177632830,-0.967742,-0.967742,-0.967742,-0.967742,-0.967742,-0.967742
1746177632853,-1.6129,-1.6129,-1.6129,-1.6129,-1.6129,-1.6129
1746177632855,-2.25806,-2.25806,-2.25806,-2.25806,-2.25806,-2.25806
1746177632880,-2.90322,-2.90322,-2.90322,-2.90322,-2.90322,-2.90322
1746177632882,-3.54839,-3.54839,-3.54839,-3.54839,-3.54839,-3.54839
1746177632908,-4.19355,-4.19355,-4.19355,-4.19355,-4.19355,-4.19355
1746177632910,-4.83871,-4.83871,-4.83871,-4.83871,-4.83871,-4.83871
1746177632912,-5.48387,-5.48387,-5.48387,-5.48387,-5.48387,-5.48387
1746177632937,-6.12903,-6.12903,-6.12903,-6.12903,-6.12903,-6.12903
1746177632939,-6.77419,-6.77419,-6.77419,-6.77419,-6.77419,-6.77419
1746177632941,-7.41935,-7.41935,-7.41935,-7.41935,-7.41935,-7.41935
1746177632990,-8.06452,-8.06452,-8.06452,-8.06452,-8.06452,-8.06452
1746177632993,-8.70968,-8.70968,-8.70968,-8.70968,-8.70968,-8.70968
1746177632995,-9.35484,-9.35484,-9.35484,-9.35484,-9.35484,-9.35484
1746177633019,-10,-10,-10,-10,-10,-10
1746177633021,-10,-10,-10,-10,-10,-10
1746177633024,-9.35484,-9.35484,-9.35484,-9.35484,-9.35484,-9.35484
1746177633050,-8.70968,-8.70968,-8.70968,-8.70968,-8.70968,-8.70968
1746177633056,-8.06452,-8.06452,-8.06452,-8.06452,-8.06452,-8.06452
1746177633130,-7.41935,-7.41935,-7.41935,-7.41935,-7.41935,-7.41935
1746177633155,-6.77419,-6.77419,-6.77419,-6.77419,-6.77419,-6.77419
1746177633180,-6.12903,-6.12903,-6.12903,-6.12903,-6.12903,-6.12903
1746177633206,-5.48387,-5.48387,-5.48387,-5.48387,-5.48387,-5.48387
1746177633208,-4.83871,-4.83871,-4.83871,-4.83871,-4.83871,-4.83871
1746177633234,-4.19355,-4.19355,-4.19355,-4.19355,-4.19355,-4.19355
1746177633236,-3.54839,-3.54839,-3.54839,-3.54839,-3.54839,-3.54839
1746177633238,-2.90323,-2.90323,-2.90323,-2.90323,-2.90323,-2.90323
1746177633263,-2.25806,-2.25806,-2.25806,-2.25806,-2.25806,-2.25806
1746177633288,-1.6129,-1.6129,-1.6129,-1.6129,-1.6129,-1.6129
1746177633291,-0.967742,-0.967742,-0.967742,-0.967742,-0.967742,-0.967742
1746177633293,-0.322581,-0.322581,-0.322581,-0.322581,-0.322581,-0.322581
1746177633299,0.32258,0.32258,0.32258,0.32258,0.32258,0.32258
1746177633321,0.967742,0.967742,0.967742,0.967742,0.967742,0.967742
1746177633346,1.6129,1.6129,1.6129,1.6129,1.6129,1.6129
1746177633349,2.25806,2.25806,2.25806,2.25806,2.25806,2.25806
1746177633351,2.90322,2.90322,2.90322,2.90322,2.90322,2.90322
1746177633376,3.54839,3.54839,3.54839,3.54839,3.54839,3.54839
1746177633378,4.19355,4.19355,4.19355,4.19355,4.19355,4.19355
1746177633403,4.83871,4.83871,4.83871,4.83871,4.83871,4.83871
1746177633405,5.48387,5.48387,5.48387,5.48387,5.48387,5.48387
1746177633408,6.12903,6.12903,6.12903,6.12903,6.12903,6.12903
1746177633411,6.77419,6.77419,6.77419,6.77419,6.77419,6.77419
1746177633416,7.41935,7.41935,7.41935,7.41935,7.41935,7.41935
1746177633440,8.06452,8.06452,8.06452,8.06452,8.06452,8.06452
1746177633465,8.70968,8.70968,8.70968,8.70968,8.70968,8.70968
1746177633490,9.35484,9.35484,9.35484,9.35484,9.35484,9.35484
1746177633492,10,10,10,10,10,10
1746177633495,10,10,10,10,10,10
1746177633520,9.35484,9.35484,9.35484,9.35484,9.35484,9.35484
1746177633522,8.70968,8.70968,8.70968,8.70968,8.70968,8.70968
1746177633528,8.06452,8.06452,8.06452,8.06452,8.06452,8.06452
1746177633600,7.41935,7.41935,7.41935,7.41935,7.41935,7.41935
1746177633624,6.77419,6.77419,6.77419,6.77419,6.77419,6.77419
1746177633650,6.12903,6.12903,6.12903,6.12903,6.12903,6.12903
1746177633675,5.48387,5.48387,5.48387,5.48387,5.48387,5.48387
1746177633677,4.83871,4.83871,4.83871,4.83871,4.83871,4.83871
1746177633679,4.19355,4.19355,4.19355,4.19355,4.19355,4.19355
1746177633704,3.54839,3.54839,3.54839,3.54839,3.54839,3.54839
