timestamp,j1,j2,j3,j4,j5,j6
1746177985075,-5.48425,-5.4847,-5.4837,-5.48378,-5.4834,-5.48735
1746177985090,-5.48407,-5.48482,-5.48379,-5.48378,-5.4834,-5.48735
1746177985105,-5.48407,-5.4847,-5.4837,-5.48378,-5.4834,-5.48735
1746177985118,-5.48425,-5.48482,-5.48379,-5.48378,-5.4834,-5.48735
1746177985134,-5.48416,-5.4847,-5.48379,-5.48401,-5.48341,-5.48737
1746177985478,-5.48385,-5.48482,-5.48388,-5.48378,-5.48373,-5.48752
1746177985492,-5.48407,-5.4847,-5.48383,-5.48378,-5.48359,-5.48708
1746177985506,-5.48407,-5.48482,-5.48388,-5.48378,-5.48359,-5.48745
1746177985521,-5.48416,-5.4847,-5.48383,-5.48378,-5.48373,-5.48752
1746177985535,-5.48407,-5.4847,-5.48388,-5.48401,-5.48374,-5.48754
1746177985551,-5.48337,-5.48218,-5.48379,-5.48378,-5.48373,-5.48565
1746177985564,-5.48442,-5.48575,-5.48458,-5.48401,-5.48394,-5.48165
1746177985576,-5.48464,-5.48547,-5.4844,-5.48401,-5.48408,-5.48358
1746177985588,-5.48359,-5.48218,-5.48327,-5.48378,-5.48393,-5.48912
1746177985601,-5.48442,-5.48555,-5.48383,-5.48378,-5.48373,-5.48902
1746177985613,-5.48456,-5.48547,-5.48397,-5.48378,-5.48373,-5.48814
1746177985625,-5.48166,-5.47853,-5.48235,-5.48378,-5.48227,-5.48704
1746177985637,-5.46238,-5.44172,-5.4647,-5.48344,-5.47906,-5.47955
1746177985649,-5.41468,-5.37849,-5.40562,-5.48058,-5.45477,-5.46066
1746177985661,-5.34555,-5.31991,-5.3411,-5.42873,-5.38347,-5.39157
1746177985675,-5.25674,-5.2475,-5.26315,-5.32459,-5.27582,-5.28469
1746177985689,-5.10166,-5.106,-5.1106,-5.17227,-5.11491,-5.13402
1746177985703,-4.93889,-4.9416,-4.94145,-4.99775,-4.94888,-4.97503
1746177985715,-4.81582,-4.81799,-4.82043,-4.86786,-4.82516,-4.84884
1746177985728,-4.69263,-4.69349,-4.6936,-4.73728,-4.70239,-4.72434
